영단어,동의어,단어뜻,예문,예문뜻
accept,,"받아들이다, 수락하다; 인정하다",I've decided to accept that job in Busan.,부산에서의 일자리를 받아들이기로 결정했다.
cabinet,,내각 ; 캐비닛; 진열장,He will be appointed a minister in the new cabinet.,그는 새 내각의 장관으로 임명될 것이다.
announce,,"알리다, 발표하다, 공고하다",The mayor announced that he was not going to seek another term.,시장은 다음 임기에 재출마할 생각이 없음을 발표했다.
regulate,,"규제하다; 통제[단속]하다; 조절하다, 정리하다",How can I regulate the room temperature?,실내 온도는 어떻게 조절합니까?
candidate,,후보자; 지원자,All of the candidates promise economic stability and full employment.,후보자마다 경제 안정과 완전 고용을 약속하고 있다.
conference,meeting,"회의, 회담, 협의; 수여",The summit conference broke down over the nuclear test ban.,정상 회담은 핵 실험 금지 문제로 결렬되었다.
duty,responsibility,"의무, 임무",Every citizen has civil rights and duties.,모든 시민은 시민의 권리와 의무를 갖고 있다.
treaty,,"조약, 협정; 협상, 교섭","Before the treaty could go into effect, it had to be ratified by the president.",조약이 효력을 갖기 위해 대통령의 비준이 있어야만 했다.
welfare,wellbeing,복지; 번영,The government has reduced welfare spending.,정부는 복지비를 줄였다.
unanimous,,"만장일치의, 동의하는",The bill passed the National Assembly by an unanimous vote.,그 의안은 만장일치로 국회를 통과했다.
amend,"change, reform","개정하다, 수정하다; 고치다",The members of the National Assembly made an effort to amend the evil laws.,국회의원들은 악법을 개정하기 위해 힘썼다.
parliament,,"의회, 국회","Last year, parliament passed the budget bill on the final day of the year.",작년에 국회는 한 해가 끝나는 날에 예산안을 가결했다.
congress,,"(미국의) 의회; 회의, 회합",The United States Congress is a bicameral body.,미국 국회는 양원제이다.
dictator,tyrant,독재자; 받아쓰게 하는 사람,Dictators distrust their people.,독재자들은 자기 국민을 믿지 않는다.
tyranny,dictatorship,"폭정, 전제 정치; 포학 (행위), 학대","The only force to stop the rise of tyranny and terror, and replace hatred with hope, is the force of human freedom.",독재와 테러의 발생을 막고 증오를 희망으로 바꾸기 위한 유일한 힘은 인 간 자유의 힘이다.
accord,"agreement, harmony","일치, 조화; 협정; (동) 일치하다, 조화 하다",Greece and Macedonia signed an accord to lift the economic blockade.,그리스와 마케도니아는 경제 봉쇄를 푸는 협정에 서명했다.
advocate,support,"옹호하다, 변호하다, 지지하다; (명) 옹호자, 지지 자",He advocates taking a more long-term view.,그는 좀 더 장기적인 안목으로 볼 것을 주장했다.
reign,"rule, command","통치(권), 지배; 세력; (동) 군림하다, 지배하다; 세력을 떨치다","The King reigns, but he does not rule.",왕은 군림하나 통치하지는 않는다.
administration,,"관리, 행정; (집합적) 관리 책임자들, 집행부; (미국) 행정 기관, 행정부; (미국) 내각, 정부",The US Food and Drug Administration recently affirmed that eating just a handful of nuts per day may reduce the risk of heart disease.,미국 식품의약국은 최근에 하루에 한 움큼의 견과류를 먹는 것이 심장 질 환의 위험을 줄일 수 있다고 단언했다.
declare,announce,"선언하다, 단언하다","If no one has any objections, I'll declare the meeting closed.","아무도 반대가 없으면, 회의의 폐막을 선언하겠습니다."
banish,"expel, exclude",추방하다,The banished king was restored to the throne.,추방되었던 왕은 복위하였다.
protest,"oppose, disagree",항의하다; 이의를 제기[신청]하다,Protesting students occupied the university office for two weeks.,항의하는 학생들이 2주 동안 대학본부를 점령했다.
diplomacy,,외교(술),He settled an international dispute by diplomacy.,그는 국제 분쟁을 외교로 해결했다.
representative,,"대표적인, 전형적인; 대리[대표]하는; (명) 대표자, 대행자; (미국) 하원 의원",We elected him as our representative.,우리는 그를 대표로 선출했다.
representative,,"대표적인, 전형적인; 대리[대표]하는; (명) 대표자, 대행자; (미국) 하원 의원",What is the most representative musical instrument of Korea?,한국의 대표적인 악기는 무엇입니까?
civil,civic,"시민의, 내정의; 국내의",People get together under the flag for national independence and civil rights.,사람들이 국가의 독립과 시민권을 위해 깃발 아래 함께 모인다.
democracy,,"민주주의, 민주정치",The most important tasks of a democracy are done by everyone.,민주국가의 가장 중요한 과업은 모든 사람에 의해 이루어진다.
exception,,"제외, 예외; 불복, 이의 신청",Every rule has its exceptions.( = There is no rule without some exceptions.),예외 없는 규칙은 없다.
dependence,,"의존, 종속 (상태)",Our relationship is based on mutual dependence.,우리의 관계는 상호 의존에 기초를 두고 있다.
independence,,"독립(심), 자립","Since then, July 4 has been celebrated in the United States as Independence Day.",그 이후 7월 4일은 미국에서 독립 기념일로 기념되어 왔다.
authority,,"권위, 권력; (보통 pl.) 당국, 관헌, 소식통",He enjoys exercising his authority over his staffs.,그는 직원들에게 권위를 휘두르는 것을 즐긴다.
intend,,"의도하다, ~할 작정이다",Korea intends to play a new role in the historic changes.,한국은 역사적 변화에서 새로운 역할을 맡으려고 한다.
resist,oppose,"저항하다, 반항하다; 견디다",They resisted the enemy bravely.,그들은 적에 용감히 저항했다.
security,"safety, certainty","안전, 안정, 보증",They concluded a mutual security agreement.,그들은 상호 안보 협정을 맺었다.
party,,"정당, 당파; 파티, 모임",The party leader resisted demands for his resignation.,그 당 지도자는 사임하라는 요구에 저항했다.
official,,"공식의, 공무의: (명) 공무원, 관리",Official figures suggest more than a third of startups have female CEOs.,공식 통계에 따르면 신생 기업의 CEO 중 3분의 1 이상이 여성이라고 한다.
rational,"resonable, logical","이성적인, 합리적인",He's asking you to come to a rational decision.,그는 당신에게 합리적인 결정을 내려 주기를 청하고 있다.
assembly,,"집회; 의회, 입법부; 조립",The government forbids an illegal assembly.,정부는 불법 집회를 금지하고 있다.
stable,,"안정된, 견실한, 튼튼한: (명) 마구간",He needs a stable international arena and good relations with the U.S. ,그는 안정된 국제 활동 무대와 미국과의 우호 관계를 필요로 한다.
strategy,,"전략, 전술",That is part of his strategy for the coming presidential election.,그것은 그의 다음 대통령 선거를 위한 전략의 하나였다.
abolish,"remove, get rid of, do away with",폐지하다; 파괴하다,There is growing recognition that we should abolish segregation.,인종 차별을 폐지해야 한다는 인식이 점점 더해가고 있다.
council,,"회의, 협의; 지방 의회",The city council will meet to discuss urban development .,시의회는 도시개발 문제를 의논하기 위해 열릴 것이다.
invade,attack,"침략하다, 침해하다",Mr.Bush said the U.S.has no intention of invading North Korea.,부시 대통령은 미국은 북한을 침략할 의사가 전혀 없다고 밝혔습니다.
reconcile,,"조정하다, 화해시키다, 중재하다","They failed to reconcile their differences, but agreed to continue negotiations.","그들은 의견차를 해소하는 데는 실패했지만, 협상을 계속하기로 합의했다."
oppose,"resist, withstand","반대하다, 이의를 제기하다",They were active in opposing the closures.,그들은 적극적으로 그 폐쇄에 반대했다.
regime,government,"정권; 정부; 사회 조직; 제도, 체제","During the French Revolution of 1789, women were extremely active in the fight against the old feudal regime.",1789년 프랑스 혁명 중 여성들은 낡은 봉건 체제에 대항한 싸움에서 아주 활동적이었다.
senator,,(미국의) 상원 의원,The senator remained neutral in the furious controversy.,그 상원 의원은 격한 논쟁에서 중립을 지켰다.
exile,banishment,국외 추방; 망명; (동) 추방하다,He came back after an exile of ten years.,그는 10년간의 망명 생활 끝에 돌아왔다.
radical,,"근본적인; 과격한, 급진적인",South Korea has not escaped involvement with terror attempts by radical groups.,한국은 과격 단체의 테러 대상에서 예외가 아니다.
session,,"개회 중임; 입회, 회합",The National Assembly is expected to ratify the treaty during this session.,국회는 이번 회기 중에 그 조약을 비준할 예정이다.
reject,"refuse, deny","거절하다, 거부하다, 부인하다",The Congress rejected the government's proposal.,의회는 정부의 제안을 거부했다.
nominate,,"지명하다, 임명하다; 출마하다",He was nominated for the Presidency.,그는 대통령직의 후보자로 지명되었다.
aristocracy,,귀족 정치[계급],The aristocracy has sent its children to this school.,귀족들은 아이들을 이 학교에 보냈다.
neutral,,중립(국)의; 분명치 않은; (전기 .화학에서) 중성의,The country remained neutral in the war.,그 나라는 전쟁에서 중립을 유지했다.
recommend,"nominate, say a good word","추천하다, 권하다",I will gladly recommend you.,당신이라면 쾌히 추천하겠다.
legislation,,"법률 제정, 입법",Congress has the power of legislation.,의회는 입법권을 가진다.
deny,,"부인하다, 부정하다; 거절하다",The politician made an effort to deny the crime.,그 정치인은 범행을 부인하려고 애썼다.
order,command,"명령, 지시; 질서, 정리; 순서; 주문; (동) 명령하다; 주문하다",You acted contrary to orders.,너는 명령에 위반하는 행동을 했다.
order,command,"명령, 지시; 질서, 정리; 순서; 주문; (동) 명령하다; 주문하다",I arranged the cards in numerical order.,나는 카드를 번호 순서대로 정리했다.
order,command,"명령, 지시; 질서, 정리; 순서; 주문; (동) 명령하다; 주문하다",The company has placed a large order for computers.,그 회사는 컴퓨터를 대량 주문했다.
disorder,,"무질서, 혼란; 장애",The meeting fell into disorder and a complete mess.,회의라는 게 질서도 없이 온통 개판이 되었다.
confess,,"고백[자백]하다, 실토하다; 인정하다",He finally came clean and confessed everything.,그는 드디어 모든 것을 시인하고 모든 것을 자백했습니다.
jail,,"교도소, 감옥",I'll build more jails to solve that problem.,저는 그 문제를 해결하기 위해서 감옥을 더 지을 것입니다.
